wavelength_nm	intensity_arb
309.636	120.153
309.651	94.505
309.666	185.23
309.681	103.357
309.696	19.0837
309.711	30.0608
309.726	35.0749
309.742	51.8721
309.757	35.1485
309.772	26.9651
309.787	46.6795
309.802	52.8479
309.817	34.6637
309.832	100.456
309.847	142.702
309.863	47.3301
309.878	45.9485
309.893	19.5456
309.908	62.2934
309.923	164.514
309.938	316.472
309.953	156.82
309.968	95.8473
309.983	21.6688
309.998	36.9189
310.013	25.3365
310.028	16.0952
310.043	44.1175
310.058	35.5052
310.073	47.2606
310.088	40.8669
310.103	203.321
310.118	97.815
310.133	49.0509
310.148	31.5771
310.163	42.5714
310.178	54.5256
310.193	137.98
310.208	223.168
310.223	272.332
310.234	140.145
310.25	62.6796
310.267	119.536
310.283	72.8907
310.3	54.1028
310.317	227.543
310.333	120.078
310.35	49.9288
310.366	62.6253
310.383	57.1324
310.399	77.4205
310.416	24.6394
310.432	57.6247
310.449	61.315
310.465	52.1144
310.482	57.5675
310.498	57.1866
310.515	39.9777
310.531	46.6819
310.548	194.847
310.564	138.508
310.581	145.962
310.597	141.071
310.614	58.3685
310.63	127.474
310.647	156.064
310.663	55.2431
310.679	52.489
310.696	96.3254
310.712	60.2571
310.729	108.179
310.745	166.749
310.762	82.9692
310.778	110.177
310.794	49.9954
310.811	70.4074
310.827	98.2718
310.844	72.9462
310.86	63.4002
310.876	35.2375
310.893	76.2652
310.909	160.429
310.925	177.329
310.942	68.8619
310.958	100.783
310.974	106.463
310.991	64.4237
311.007	137.555
311.023	129.567
311.04	70.7798
311.056	72.7365
311.072	68.3928
311.089	108.073
311.105	71.4107
311.121	119.381
311.138	103.598
311.154	88.1849
311.17	75.381
311.186	163.875
311.203	285.001
311.219	124.797
311.235	116.243
311.251	73.8312
311.268	81.1829
311.284	95.4973
311.3	88.9715
311.316	133.74
311.332	105.4
311.349	81.4955
311.365	82.1669
311.381	87.1899
311.397	90.3681
311.413	90.3809
311.43	104.004
311.446	117.072
311.462	193.019
311.478	224.964
311.494	150.175
311.511	101.987
311.527	131.1
311.543	166.239
311.559	242.372
311.575	272.62
311.591	182.843
311.607	240.492
311.623	176.948
311.64	181.51
311.656	189.11
311.672	224.619
311.688	154.71
311.704	230.684
311.72	135.557
311.736	64.3735
311.752	127.06
311.768	265.058
311.784	166.415
311.8	80.7976
311.816	75.2191
311.832	79.3558
311.849	44.5295
311.865	77.5684
311.881	59.4828
311.897	78.7942
311.913	63.1811
311.929	72.1951
311.945	105.422
311.961	157.136
311.977	54.8937
311.993	50.0859
312.009	51.3195
312.025	90.1854
312.041	57.3748
312.056	91.453
312.072	59.381
312.088	86.6597
312.104	51.7854
312.12	43.0604
312.136	140.297
312.152	101.401
312.168	74.3406
312.184	59.6373
312.2	90.4116
312.216	130.501
312.232	253.184
312.248	185.979
312.264	122.695
312.279	81.8757
312.295	80.9191
312.311	131.542
312.327	73.4207
312.343	44.6854
312.359	48.7598
312.375	146.304
312.39	268.181
312.406	148.72
312.422	73.5654
312.438	119.83
312.454	82.664
312.47	222.423
312.485	231.779
312.501	112.42
312.517	150.728
312.533	110.551
312.549	156.367
312.564	119.09
312.58	22.5912
312.596	135.078
312.612	92.2604
