system_id	region_id	source_line_id	air_wavelength_nm	einstein_a_s-1	upper_e_v_cm-1	upper_e_j_cm-1	upper_j	upper_v	lower_v	branch
n2-second-positive	n2-sps-380	165257	383.366733913	2513986.70245	35447.3395	15948.2595	97	3	10	P2
n2-second-positive	n2-sps-380	167055	383.377366764	2392791.86941	37230.366	2278.667	36	4	1	P2
n2-second-positive	n2-sps-380	183582	383.378358802	2941.06375926	35447.3395	3156.663	41	3	9	QP32
n2-second-positive	n2-sps-380	27330	383.380739713	19087.0264191	37230.366	439.8985	15	4	1	SR21
n2-second-positive	n2-sps-380	32606	383.382510719	3307875.3744	33572.1225	4331.2335	49	2	6	R2
n2-second-positive	n2-sps-380	49118	383.382591553	2385.92566464	31630.588	5503.8945	54	1	3	SR32
n2-second-positive	n2-sps-380	135059	383.384296438	3374781.49325	33572.1225	6845.933	63	2	7	P1
n2-second-positive	n2-sps-380	181579	383.387155093	2045.86713821	33572.1225	5426.3375	54	2	6	QP32
n2-second-positive	n2-sps-380	21456	383.38784588	380.816761291	31630.588	14620.995	91	1	4	SR21
n2-second-positive	n2-sps-380	81368	383.389837418	266.845235086	35447.3395	15946.6875	98	3	10	PQ12
n2-second-positive	n2-sps-380	193045	383.393048908	2516169.48339	35447.3395	15949.246	96	3	10	P3
n2-second-positive	n2-sps-380	71778	383.395275671	1860.77160548	35447.3395	3149.6885	43	3	9	Q1
n2-second-positive	n2-sps-380	163025	383.398127141	3369481.19325	33572.1225	6848.7665	62	2	7	P2
n2-second-positive	n2-sps-380	101867	383.399200128	6514.18983219	37230.366	1311.6815	27	4	1	Q2
n2-second-positive	n2-sps-380	64411	383.400493599	2285620.68773	37230.366	821.0605	20	4	1	R3
n2-second-positive	n2-sps-380	49323	383.403455388	377.039972561	31630.588	14622.5515	90	1	4	SR32
n2-second-positive	n2-sps-380	62410	383.405719019	3060346.23751	35447.3395	2342.708	35	3	9	R3
n2-second-positive	n2-sps-380	69739	383.406733252	1368.75807704	33572.1225	5420.6515	56	2	6	Q1
n2-second-positive	n2-sps-380	109376	383.407549052	272.111843196	35447.3395	15948.2595	97	3	10	PQ23
n2-second-positive	n2-sps-380	120452	383.412252831	3664.58838113	37230.366	750.3015	19	4	1	RQ32
n2-second-positive	n2-sps-380	60407	383.413377345	3306239.87854	33572.1225	4334.064	48	2	6	R3
