Date: 17-Jul-2018 19:09:08
Carousel: 18071714
Sample: MUSCOC17
Target: 6
Location: 1
RockType: FOIDITE
Atmosphere: EARTH
DistToTarget: 202
LocationsPerSample: 6
IntegrationsPerLocation: 6
PulsesPerIntegration: 10
LaserAttenuation: 5.00
LaserRepetitionRate: 10
IntegrationTime: 1
IntegrationsAveraged: 1
UVTriggerDelay: 0
VISTriggerDelay: 0
VNIRTriggerDelay: 0
DarkSubtracted: YES
BoxcarSmoothing: 0
PulsesDiscarded: 10
SpectColumnsDiscarded: 1
SaturatedIntegrations: NONE
wave,i1,i2,i3,i4,i5
250.662000,80054207385.600754,72380022818.525543,60573585023.025230,78873563606.050735,91270323291.326050
250.715000,98904014045.013474,115031291624.572750,99501320622.034180,112044758739.469190,125185503433.924930
250.767000,120837053520.707180,132438957579.236210,110975435070.957470,125477815144.118770,142300576028.985870
250.820000,123511522920.700680,137173532369.360950,113834266227.899660,136035031581.972600,133758030007.195890
250.874000,98204343408.436295,112108788747.387270,103040672221.984450,109086083238.919660,115131494255.854870
250.925000,71316354732.260376,85307574189.270584,73648224641.762070,78311964460.765472,88805379053.523148
250.978000,65479142168.369499,68346841825.378380,51714183814.726852,68346841825.378380,64905602236.967728
251.031000,53927496865.636108,49959692716.690033,52793838537.365791,61863105163.528244,59595788506.987633
251.085000,67877178739.523361,61867394099.526207,48044889427.532761,64872286419.524788,64271307955.525070
251.136000,60211512115.629951,56217487095.061714,52223462074.493469,56217487095.061714,63634962133.259865
251.189000,55201200020.982376,60722853815.801392,36979742498.079605,59618523056.837593,62379349954.247108
251.243000,64686063375.386101,61802583581.535309,48538576529.821671,84293725973.571503,54305536117.523247
251.295000,71987359807.107086,69128197237.539719,58835211987.097237,82280345057.549576,63409872098.405006
251.347000,76739635629.425949,76739635629.425949,58926683865.502930,66483693704.743004,86455791137.020325
251.401000,73653030103.617416,90562468819.033371,74198495868.630829,88926071523.993118,100926318354.288330
251.454000,111006826419.356510,134487845102.354140,105975179558.714170,121629192014.045910,135046916975.758850
251.506000,157504904524.461850,164700560061.112430,151416272916.526820,194590206136.430050,171342703633.405210
251.558000,172423412126.325500,186253930058.473970,161784552178.518980,187849759050.644960,187317816053.254670
251.612000,203737113654.947690,215367805939.410520,174383461698.922670,203737113654.947690,217029333408.619480
251.664000,240130295124.020290,276286584332.578800,225111528837.388310,270724078300.492860,262380319252.363980
251.716000,247144707258.862640,271377736758.577030,246617902269.738430,264529271899.962040,260314831986.968290
251.770000,200552456381.730320,220396155081.809420,188753500397.899510,216641941814.226870,234340375789.973110
251.823000,156305081005.077420,164456190975.404970,142719897721.198180,156848488336.432560,180215003584.704930
251.875000,125468701914.020650,131814853328.006940,123353318109.358570,147680231862.972690,143978310204.814000
251.928000,140558190905.975560,144794795718.212160,123611771657.029050,147972249327.389650,161741214967.158690
251.981000,150275573435.846010,170759529639.536440,135721183501.644900,159439448579.602290,165908066328.136110
252.033000,130923770716.273880,140851914748.417050,113680152134.130510,140851914748.417050,136671643576.988360
252.086000,104567584769.639370,105086030307.679200,101456911541.400560,110270485688.077240,112344267840.236430
252.139000,92892520764.719467,96067830858.908325,88129555623.436188,113002818027.915570,92892520764.719467
252.191000,92889996573.881775,80340042384.697433,62038025858.803612,94458740847.529800,97596229394.825897
252.243000,70645942669.464539,80607767722.738037,58193661352.872673,81603950228.065399,88577227765.356842
252.297000,68518560598.886940,74646928751.830872,75157626097.909531,94564125248.898636,90478546480.269333
252.350000,89378214768.963303,91512619897.774353,82441398100.327347,121927892983.332020,103251848106.235230
252.401000,110908559849.521790,122951414657.864970,97360348190.135696,128972842062.036590,120944272189.807770
252.455000,143309873061.696560,149051547457.936100,130260613070.243000,146963665859.303530,148007606658.619840
252.507000,133439629621.966810,144747588819.548400,131897635185.932920,156055548017.130000,148859573982.305360
252.560000,125398037142.210940,113091823592.589140,112066305796.787310,148984946445.652710,132576661712.823650
252.613000,112387972947.993500,109798719763.475520,82352636007.585159,124298537596.776120,112387972947.993500
252.665000,76277726269.870804,89906761184.266846,73753830915.353012,107574028665.891340,92935435609.688156
252.718000,77768133257.056625,74707845994.618271,65526984207.303131,98170048339.979111,89499234429.737076
252.770000,90985237183.652283,89988442132.340210,79522094093.563400,101451585222.429080,91483634709.308319
252.823000,114471710822.255740,111020302455.755550,87846560566.397278,117430060850.684450,106582777413.112470
252.876000,137492065030.038180,144457887383.791600,124057979062.085110,133014036374.053820,147443239821.114530
252.928000,134523425506.017170,141338846339.856380,121379399612.184360,130142083541.406230,144259740982.930330
252.981000,131686479223.539980,140082366845.667940,127241597541.236920,152923136150.098970,154404763377.533330
253.033000,129448880306.799510,137702106137.382020,125079525455.314700,150324686819.449370,151781138436.610960
253.086000,109673113233.666500,108680970482.966170,82389187589.407211,118106326614.619380,124059183118.821400
253.138000,82065536871.414490,81578501044.284439,68915569538.902969,94241432549.665909,75734071118.723755
253.191000,67802551608.173737,74121068962.340469,62456113846.955742,75579188351.763565,71690869979.968658
253.244000,76741910323.166443,63371568535.369743,57429194407.460091,71294734039.249268,70304338351.264328
253.296000,58244790712.059868,57759978581.277405,51942233011.887840,72789154635.533783,64062536281.449440
253.349000,42826054603.111084,52580802883.478050,43801529431.147781,55507227367.588142,65261975647.955109
253.401000,51406606588.467949,59519253115.580490,48543319578.898834,67154685141.098167,49020534080.493690
253.454000,54630295992.409729,70651227031.408173,60456089097.500076,74535089101.468399,65796399443.832886
253.506000,61462796538.340088,61462796538.340088,43535055458.500160,61934579198.335869,63349927178.323235
253.559000,49025941471.727837,45285684215.076805,37805169701.774757,55571391670.867126,62116841870.006424
253.612000,45592139521.001663,38931722617.064026,38455978552.497055,59388717393.443901,62718925845.412720
253.664000,59787848738.936234,49070304085.149872,47672363478.134254,58389908131.920616,60253828941.274780
253.717000,46211479155.848633,53760489931.165939,47626918676.220634,62724940226.855240,58006808492.281929
253.769000,48447158867.339920,53068509474.717323,34120971984.469936,65546156114.636353,61849075628.734428
253.822000,47057815780.750778,51189721556.621574,38334903587.245758,60371734391.890038,53026124123.675270
253.875000,55249218863.609665,59486082038.002449,44892442215.093948,81141160484.898926,54778456288.677139
253.927000,57864566502.092094,58335329077.024376,41387876379.462471,76695069499.383102,73870494049.789444
253.979000,66469188918.960060,59553319551.669426,45721580817.088135,82145159484.818848,64163899129.863182
254.032000,54230687202.772408,50944769151.534454,48128267964.759079,78640364154.825760,69721443730.037033
254.084000,52539025883.771561,56730762989.494781,52539025883.771561,74894957114.295395,64648488633.638634
254.137000,50143108045.353828,55330326119.011116,42126498295.156197,63346935869.208755,61932240030.938576
254.189000,53865714147.630524,47050464466.346436,38417814870.053261,64770113637.685059,58409213935.153236
254.243000,54504445040.446838,54504445040.446838,38319719002.235558,73069277848.983322,62120786705.487457
254.294000,57149743156.125740,53010123933.549225,47030673945.383156,67268812366.868324,63589150835.689201
254.347000,49972284135.403908,46265866975.734497,38389730511.436989,57848420599.701408,65724557063.998909
254.399000,37557644502.083344,47951270721.242775,41172818839.182274,52470238642.616440,51566445058.341705
254.452000,46981887251.231606,35584663928.830406,28290441002.493637,57923221640.736748,50628998714.399986
254.504000,46769813249.364853,49045716570.501823,26741864023.359463,51776800555.866196,52231981220.093590
254.556000,40376062899.566422,41251161192.392654,34687923996.195831,55252733877.612549,49127045827.828850
254.610000,50015896331.598793,44030869616.388298,28377722822.760864,49095122990.797173,53698989694.805244
254.661000,34740522998.661034,43651522841.566605,33849423014.370472,42314872865.130768,41423772880.840218
254.714000,45647046737.911003,43395342596.276596,43845683424.603477,55554544961.102440,41143638454.642181
254.766000,41787999696.184006,42222411474.717819,26149175668.966423,49607411709.792786,56558000166.333923
