element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Cr	2	"200.3611"	"0.0003"	"200.360909"	"0.000009"	"3"	""		"8.36255323"	"14.54859386"	"3d4.(a 3F).4p"	"y 4F*"	"9/2"	"3d4.(5D).6d"	"4G"	"11/2"	10	12		""	"L18847"	
Fe	1	"200.3728"	"0.00024"	"200.373105"	"0.000010"	"(0)"	""		"0.95815732"	"7.14382148"	"3d7.(4F).4s"	"a 5F"	"3"	"3d6.4s.(6D<3/2>).4f"	"2[3/2]*"	"2"	7	5		""	"L11631c81"	
Mn	1	"200.385"	""	""	""	"18000"	""		""	""	""	""	""	""	""	""				""	"L3475"	
Fe	1	"200.38696"	"0.00006"	"200.386980"	"0.000007"	"14"	""		"0.05156912"	"6.23680503"	"3d6.4s2"	"a 5D"	"3"	"3d6.(5D).4s (6D).5p"	"n 7F*"	"4"	7	9		""	"L11631"	
Cr	2	"200.389343"	"0.000015"	"200.389350"	"0.000007"	"41"	""		"2.54317577"	"8.72833855"	"3d5"	"a 4G"	"11/2"	"3d4.(3G).4p"	"y 2H*"	"11/2"	12	12		""	"L18847"	
Ar	2	"200.39101"	"0.00004"	"200.390976"	"0.000009"	"10"	""		"19.867157038"	"26.05226965"	"3s2.3p4.(3P).4p"	"2P*"	"3/2"	"3s2.3p4.(3P).6d"	"2D"	"5/2"	4	6		""	"L11520"	
Fe	2	"200.39104"	"0.00007"	"200.390992"	"0.000010"	"2900"	"5.e+06"	D	"1.69526130"	"7.8803734"	"3d7"	"a 4P"	"3/2"	"3d6.(3F2).4p"	"x 4D*"	"1/2"	4	2		"T6892c83"	"L18349c139"	
Ne	2	"200.3930"	"0.0010"	"200.393177"	"0.000013"	"22"	""		"31.36223939"	"37.5472841"	"2s2.2p4.(3P).3p"	"4S*"	"3/2"	"2s2.2p4.(3P).4d"	"4F"	"5/2"	4	6		""	"L1406"	
Cr	2	"200.39600"	"0.00005"	"200.396006"	"0.000013"	"11"	""		"3.10398702"	"9.2889444"	"3d5"	"b 4D"	"1/2"	"3d4.(3D).4p"	"x 4P*"	"1/2"	2	2		""	"L18847"	
Cr	2	"200.40789"	"0.00015"	"200.408043"	"0.000007"	"4"	""		"2.54317577"	"8.72776170"	"3d5"	"a 4G"	"11/2"	"3d4.(3G).4p"	"y 2H*"	"9/2"	12	10		""	"L18847"	
Cr	2	"200.4180"	"0.0003"	"200.418173"	"0.000007"	"4"	""		"2.54406517"	"8.72833855"	"3d5"	"a 4G"	"9/2"	"3d4.(3G).4p"	"y 2H*"	"11/2"	10	12		""	"L18847"	
